GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,5,18,5,13,3,13
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,84,0,2,2,23,1,18,1,17
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,1,55,2,25,1,15
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,29,75,5,9,7,21,7,13,2,11
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,50,337,1,41,14,83,7,39,6,19
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,10,230,3,9,2,49,3,23,0,20
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,50,138,8,10,12,36,9,14,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,45,0,2,0,13,0,10,0,9
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,14,101,9,13,0,22,7,9,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.new Object() {...},3,23,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,79,1,13,1,17,2,15,1,9
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,63,320,22,44,6,57,20,26,0,12
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,33,73,8,16,6,17,10,9,3,4
