Project_Name,Version ,commit id,bugs,Statement_Coverage,Branch_Coverage,LOC,Churned_Code,DD,Relative_Churned
Collection,3.3,38a48e2,49,90.66,85.42,199122,28988,0.246080293,0.145579092
Collection,3.4,befd8eb,12,90.66,85.42,207686,9858,0.057779533,0.047465886
Collection,3.5,b3c5dae,10,90.53,84.96,208918,2418,0.287194019,0.011573919
Collection,3.6,95a9d35,17,90.61,83.79,222070,15549,0.076552438,0.070018463
Collection,3.6.1,16abfe5,46,89.62,84.86,222133,122,0.207083144,0.000549221
Configuration,2.1,e814fe0,13,89.63,83.54,85883,754,0.151368723,0.008779386
Configuration,2.1.1,31c1ab6,12,89.63,83.54,86541,819,0.138662599,0.009463722
Configuration,2.2,1379979,22,89.63,83.54,87497,1729,0.251437192,0.019760678
Configuration,2.3,43bd7dc,13,90,83.54,88040,979,0.147660155,0.011119945
Configuration,2.4,6543cb0,5,89.05,82.72,88375,9677,0.056577086,0.109499293
IO,2.2,5d4d099,6,89.09,81.8,27419,3439,0.218826361,0.125423976
IO,2.3,c07589b,12,88.99,81.8,27701,563,0.433197358,0.020324176
IO,2.4,e36d531,89,89.22,82.02,28207,754,3.155245152,0.026730953
IO,2.5,c5ef333,41,88.65,80.85,33546,11986,1.222202349,0.357300423
IO,2.6,2ae025f,30,87,88,33764,3273,0.888520318,0.096937567
Lang,3.4,4777c3a,84,93.27,89.14,70935,4066,1.184182702,0.057320082
Lang,3.5,36f98d8,42,93.48,89.46,77355,9935,0.542951328,0.128433844
Lang,3.6,09043bf,15,93.48,89.46,80461,7197,0.186425722,0.089447061
Lang,3.7,425d808,24,93.48,89.46,80937,2377,0.296526928,0.029368521
Lang,3.8.1,eb5b11a,7,95,91.03,81860,1530,0.08551185,0.018690447
Math,3.3,38a48e2,49,90.66,85.42,199122,28988,0.246080293,0.145579092
Math,3.4,befd8eb,12,90.66,85.42,207686,9858,0.057779533,0.047465886
Math,3.5,b3c5dae,60,90.53,84.96,208918,2418,0.287194019,0.011573919
Math,3.6,95a9d35,17,90.61,83.79,222070,15549,0.076552438,0.070018463
Math,3.6.1,16abfe5,46,89.62,84.86,222133,122,0.207083144,0.000549221
