Project_Name	Version 	commit id	bugs	Statement_Coverage	Branch_Coverage	LOC	Churned_Code	DD	Relative_Churned
Collection	3.2.1	0af3ae8	41	84.72	73.04	58646	884	0.6991099137	0.0150734918
Collection	3.2.2	8e217b4	9	84.93	73.35	59597	1184	0.1510143128	0.01986677182
Collection	4	db18992	74	87.8	76.21	54993	44277	1.345625807	0.8051388359
Collection	4.1	cb15716	28	87.9	76.91	64783	10876	0.4322121544	0.1678835497
Collection	4.2	483cbbb	15	88.83	78.79	66695	4997	0.2249044156	0.07492315766
Configuration	2.1	e814fe0	13	84.72	73.04	85883	754	0.1513687226	0.008779385909
Configuration	2.1.1	31c1ab6	12	89.23	83.266	86541	819	0.1386625992	0.009463722397
Configuration	2.2	1379979	22	88.4	83.26	87497	1729	0.2514371921	0.01976067751
Configuration	2.3	43bd7dc	13	89.01	83.29	88040	979	0.1476601545	0.01111994548
Configuration	2.4	6543cb0	5	89.05	82.72	88375	9677	0.05657708628	0.1094992928
IO	2.2	5d4d099	6	89.09	81.8	27419	3439	0.2188263613	0.1254239761
IO	2.3	c07589b	12	88.99	81.8	27701	563	0.4331973575	0.02032417602
IO	2.4	e36d531	89	89.22	82.02	28207	754	3.155245152	0.02673095331
IO	2.5	c5ef333	41	88.65	80.85	33546	11986	1.222202349	0.3573004233
IO	2.6	2ae025f	30	89.07	81.48	33764	3273	0.8885203175	0.09693756664
Lang	3.4	4777c3a	92.82	82.91	84	70935	4066	1.308521886	0.05732008176
Lang	3.5	36f98d8	92.81	82.2	42	77355	9935	1.199793161	0.128433844
Lang	3.6	09043bf	93.35	84.15	15	80461	7197	1.160189409	0.08944706131
Lang	3.7	425d808	93.3	84.16	24	80937	2377	1.152748434	0.0293685212
Lang	3.8.1	eb5b11a	93.32	84.33	7	81860	1530	1.139995114	0.0186904471
Math	3.3	38a48e2	49	90.66	85.42	199122	28988	0.2460802925	0.1455790922
Math	3.4	befd8eb	12	90.66	85.42	207686	9858	0.05777953256	0.047465886
Math	3.5	b3c5dae	60	90.53	84.96	208918	2418	0.2871940187	0.01157391895
Math	3.6	95a9d35	17	90.61	83.79	222070	15549	0.07655243842	0.07001846265
Math	3.6.1	16abfe5	46	89.62	84.86	222133	122	0.2070831439	0.000549220512
