Project_Name,Version,Commit_ID,"LOC
",Bugs,Added+Changed,Code_Churned,Defect_Density
Collection,3.2.1,0af3ae8,58646,41,613,0.01045254578,0.6991099137
Collection,3.2.2,8e217b4,59597,9,951,0.01595717905,0.1510143128
Collection,4,db18992,54993,74,4604,0.08371974615,1.345625807
Collection,4.1,cb15716,64783,28,9790,0.1511198926,0.4322121544
Collection,4.2,483cbbb,66695,15,1912,0.02866781618,0.2249044156
Configuration,1.1,3480ec5,18349,43,5120,0.2790342798,2.343451959
Configuration,1.2,4c9cc64,22672,21,4323,0.1906757234,0.9262526464
Configuration,1.3,663be0e,35923,27,13251,0.3688723102,0.7516076052
Configuration,1.4,2ca32d3,39217,43,3294,0.08399418619,1.096463268
Configuration,1.5,6925324,42745,48,3528,0.08253596912,1.122938355
Configuration,1.6,46a1e1c,46721,95,3976,0.08510091822,2.033346889
Configuration,1.7,3bbf2a4,53762,25,7041,0.1309661099,0.4650124623
Configuration,1.8,fa91037,52718,31,1044,0.01980348268,0.5880344474
Configuration,1.9,93f43a4,52977,62,259,0.004888914057,1.170319195
Configuration,2,25c1620,85713,21,32519,0.3793940242,0.2450036751
Configuration,2.1,e814fe0,85883,13,170,0.001979437141,0.1513687226
Configuration,2.1.1,31c1ab6,86541,12,658,0.007603332524,0.1386625992
Configuration,2.2,1379979,87497,22,956,0.01092608889,0.2514371921
Configuration,2.3,43bd7dc,88040,13,543,0.006167651068,0.1476601545
Configuration,2.4,6543cb0,88375,5,335,0.003790664781,0.05657708628
IO,2.2,5d4d099,27419,6,10270,0.3745577884,0.2188263613
IO,2.3,c07589b,27701,12,282,0.0101801379,0.4331973575
IO,2.4,e36d531,28207,89,506,0.01793880952,3.155245152
IO,2.5,c5ef333,33546,41,5339,0.1591545937,1.222202349
IO,2.6,2ae025f,33764,30,218,0.006456580974,0.8885203175
Lang,1.0.1,e1e9d4d,10643,6,13,0.001221460115,0.5637508221
Lang,2,da5d641,28949,110,18306,0.6323534492,3.79978583
Lang,2.1,81f1077,40635,47,11686,0.2875845946,1.156638366
Lang,2.2,bdf2ede,48799,33,8164,0.1672985102,0.6762433656
Lang,2.3,4e55808,50050,52,1251,0.024995005,1.038961039
Lang,2.4,aa9727e,52844,81,2794,0.05287260616,1.532813564
Lang,2.5,7c4386c,55938,38,3094,0.05531123744,0.6793235368
Lang,2.6,631f3ce,56323,29,385,0.006835573389,0.5148873462
Lang,3,c21484b,54732,56,1591,0.02906891764,1.023167434
Lang,3.0.1,b901f0b,56970,15,2238,0.0392838336,0.2632964718
Lang,3.1,915946c,57735,88,765,0.01325019486,1.524205421
Lang,3.2,0c14a39,66715,16,8980,0.1346024133,0.2398261261
Lang,3.2.1,92e7e56,66749,20,34,0.0005093709269,0.299629957
Lang,3.3,37f8fe8,68185,10,1436,0.02106035052,0.1466598225
Lang,3.3.1,27676c6,68220,5,35,0.0005130460276,0.07329228965
Lang,3.3.2,e8f924f,68253,57,33,0.000483495231,0.8351281262
Lang,3.4,4777c3a,70935,84,2682,0.037809262,1.184182702
Lang,3.5,36f98d8,77355,42,6420,0.08299398875,0.5429513283
Lang,3.6,09043bf,80461,15,3106,0.03860255279,0.1864257218
Lang,3.7,425d808,80937,24,476,0.005881117412,0.2965269284
Lang,3.8.1,eb5b11a,81860,7,923,0.01127534816,0.0855118495
Math,3,174f17d,129692,179,24060,0.1855164544,1.380193073
Math,3.1,b090abb,162806,35,33114,0.2033954523,0.2149797919
Math,3.1.1,6c63f44,163293,21,487,0.002982369116,0.1286031857
Math,3.2,7ec5088,173152,88,9859,0.05693841249,0.5082239882
Math,3.3,38a48e2,199122,49,25970,0.130422555,0.2460802925
Math,3.4,befd8eb,207686,12,8564,0.04123532641,0.05777953256
Math,3.5,b3c5dae,208918,60,1232,0.005897050517,0.2871940187
Math,3.6,95a9d35,222070,17,13152,0.05922456883,0.07655243842
Math,3.6.1,16abfe5,222133,46,63,0.000283613871,0.2070831439
