GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.View,0,74,0,16,0,26,0,12,0,4
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,DualHashBidiMap,12,55,0,0,3,14,1,5,1,5
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,TreeBidiMap.ViewMapIterator,0,43,0,4,0,10,0,6,0,4
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.BidiMapIterator,16,152,0,14,4,33,1,15,1,8
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.KeySetIterator,0,57,0,2,0,16,0,4,0,3
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,TreeBidiMap,143,1791,34,222,30,435,34,160,1,65
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,UnmodifiableSortedBidiMap,5,106,1,3,2,29,2,18,1,17
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.EntrySetIterator,0,58,0,2,0,16,0,4,0,3
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractBidiMapDecorator,4,22,0,0,1,6,1,5,1,5
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,TreeBidiMap.View,0,58,0,4,0,12,0,8,0,6
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.ValuesIterator,0,49,0,2,0,15,0,4,0,3
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,32,125,1,11,7,26,4,13,3,8
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,TreeBidiMap.Node,2,217,2,10,1,43,2,23,0,19
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractDualBidiMap.KeySet,0,51,0,2,0,9,0,5,0,4
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,UnmodifiableOrderedBidiMap,2,81,1,3,1,23,1,15,0,14
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,AbstractOrderedBidiMapDecorator,8,26,0,0,2,7,2,6,2,6
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,DualTreeBidiMap,35,217,2,10,7,47,4,20,2,16
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,DualTreeBidiMap.ViewMap,28,40,0,2,3,8,3,4,3,3
"commons-collections (Apr 2, 2019 9:46:39 PM)/commons-collections/src/java",org.apache.commons.collections.bidimap,UnmodifiableBidiMap,2,75,1,3,1,21,1,13,0,12
