GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,0,66,3,28,0,16
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,434,467,25,27,89,126,68,43,50,35
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,15,159,1,11,1,32,1,11,0,6
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,18,369,6,48,4,98,6,33,0,12
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupIOFactory,0,23,0,0,0,7,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,0,42,0,0,0,10,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,31,785,6,126,5,204,7,85,1,25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,15,205,2,18,3,48,2,17,1,8
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},31,46,7,3,0,5,5,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,55,6,2,0,5,4,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,56,6,2,0,6,4,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,4,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,96,6,10,0,16,4,6,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,116,6,8,0,18,4,5,0,2
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,39,367,1,33,13,95,5,37,4,21
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,60,6,4,0,7,4,3,0,2
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,3,76,0,6,2,24,1,8,1,5
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,38,1,17,0,8
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,226,1,21,2,59,2,26,1,16
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,661,4,80,4,173,4,75,0,37
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,26,602,1,51,5,140,1,61,0,36
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,429,82,11,5,73,17,65,6,57,6
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,128,1441,17,111,16,354,15,155,0,105
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,67,724,3,67,10,205,3,68,0,36
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter.new ValueTransformer() {...},0,64,0,4,0,10,0,4,0,2
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,736,2,10,3,133,4,100,2,96
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,61,486,9,59,9,137,9,53,0,28
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,211,1,13,0,56,1,22,0,16
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,8,14,1,4,1,4
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,99,0,6,0,26,0,14,0,11
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,56,49,0,0,23,16,3,5,3,5
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,78,1,5,2,21,2,7,1,5
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,42,215,0,18,12,63,6,30,6,21
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,13,0,6,0,6
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,27,141,0,10,3,38,1,19,1,14
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,24,566,1,31,2,142,1,48,0,33
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,52,906,1,103,9,241,1,88,0,37
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,47,593,6,72,10,161,6,60,0,27
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,24,0,4,0,7,0,6,0,4
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesReader,1,103,2,14,1,29,2,10,0,4
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration.ConfigData,0,167,0,8,0,44,0,14,0,10
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,34,376,11,35,7,106,12,30,3,16
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,6,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,0,3,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,28,174,4,10,7,44,3,17,0,13
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,1,1,1,1,1
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new Object() {...},2,17,0,0,0,1,0,1,0,1
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,10,215,0,20,1,58,0,27,0,17
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,191,1115,28,148,28,211,30,86,2,26
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,22,0,0,0,10,0,5,0,5
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3
