GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationMonitor,5,179,1,25,2,51,1,24,0,12
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileEntry,51,120,9,13,16,29,18,13,10,10
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationObserver,63,517,12,62,11,113,13,46,3,19
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ProxyInputStream,38,85,1,3,16,29,2,13,1,12
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ClassLoaderObjectInputStream,9,45,1,3,3,10,1,4,0,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ProxyReader,102,51,4,2,38,16,11,6,8,6
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,CountingInputStream,0,84,0,6,0,20,0,10,0,7
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceInputStream,50,202,9,29,8,56,11,22,3,11
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,BOMInputStream,0,348,0,56,0,73,0,46,0,18
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,DemuxInputStream,12,29,3,1,5,8,3,3,1,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,AutoCloseInputStream,5,19,0,2,3,8,1,4,1,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,XmlStreamReader,110,1264,12,148,28,197,14,90,5,19
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReversedLinesFileReader,7,209,0,24,2,46,1,16,1,4
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,CharSequenceReader,41,129,6,16,6,33,7,13,1,8
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReaderInputStream,38,221,7,29,6,59,9,21,2,10
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,TeeInputStream,10,60,2,6,5,18,2,8,1,5
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,Tailer,77,310,2,33,18,91,10,25,8,9
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,TailerListenerAdapter,8,0,0,0,6,0,6,0,6,0
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,49,285,5,39,7,58,5,22,0,5
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,SwappedDataInputStream,4,97,1,5,1,26,1,18,0,16
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,TaggedOutputStream,0,24,0,0,0,7,0,4,0,4
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,DeferredFileOutputStream,0,138,0,12,0,41,0,16,0,10
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,FileWriterWithEncoding,141,78,5,7,40,28,18,8,14,6
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,StringBuilderWriter,1,78,2,4,1,24,3,12,1,11
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,XmlStreamWriter,49,166,8,16,12,44,10,13,3,8
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,ThresholdingOutputStream,28,81,0,6,10,22,4,10,4,7
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,ProxyWriter,98,93,0,6,32,38,6,11,6,8
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,ProxyOutputStream,17,66,0,2,5,27,0,10,0,9
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,CountingOutputStream,0,72,0,4,0,17,0,8,0,6
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,ClosedOutputStream,0,21,0,0,0,3,0,3,0,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,DemuxOutputStream,20,30,5,1,8,9,5,3,2,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,TeeOutputStream,0,48,0,0,0,19,0,6,0,6
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,NullWriter,4,17,0,0,2,11,2,10,2,10
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,WriterOutputStream,26,163,2,8,7,51,5,14,3,11
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,ByteArrayOutputStream,19,454,10,34,4,108,10,28,0,16
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io.output,LockableFileWriter,138,142,7,9,43,39,18,10,13,7
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,EndianUtils,0,819,0,4,0,121,0,33,0,31
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,Charsets,3,32,0,4,1,8,1,5,1,3
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,FileSystemUtils,139,587,32,61,30,132,22,40,2,12
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,13,0,5,0,2
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,HexDump,3,292,0,24,2,47,1,16,1,4
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,LineIterator,0,106,0,16,0,38,0,16,0,8
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,IOCase,1,189,1,31,0,35,1,28,0,13
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,CopyUtils,0,132,0,4,0,40,0,13,0,11
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,ThreadMonitor,0,53,0,4,0,19,0,7,0,5
commons-io2.4 (3-Apr-2019 4:51:19 PM)/commons-io/src/main/java,org.apache.commons.io,DirectoryWalker,1,220,0,26,1,58,1,28,1,15
