GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.comparator,ExtensionFileComparator,0,75,0,2,0,18,0,6,0,5
Apache Commons IO,org.apache.commons.io.comparator,ReverseComparator,5,30,1,1,1,6,1,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,SizeFileComparator,0,105,2,14,0,27,2,11,0,5
Apache Commons IO,org.apache.commons.io.comparator,NameFileComparator,0,69,0,2,0,14,0,6,0,5
Apache Commons IO,org.apache.commons.io.comparator,LastModifiedFileComparator,0,33,0,4,0,9,0,5,0,3
Apache Commons IO,org.apache.commons.io.comparator,AbstractFileComparator,0,21,0,4,0,8,0,6,0,4
Apache Commons IO,org.apache.commons.io.comparator,DefaultFileComparator,0,17,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,PathFileComparator,0,69,0,2,0,14,0,6,0,5
Apache Commons IO,org.apache.commons.io.comparator,DirectoryFileComparator,0,28,0,2,0,7,0,5,0,4
Apache Commons IO,org.apache.commons.io.comparator,CompositeFileComparator,0,133,0,14,0,32,0,12,0,5
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,223,0,18,2,36,0,21,0,12
Apache Commons IO,org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,OrFileFilter,2,164,3,19,0,42,3,18,0,10
Apache Commons IO,org.apache.commons.io.filefilter,NotFileFilter,0,48,0,6,0,8,0,7,0,4
Apache Commons IO,org.apache.commons.io.filefilter,AbstractFileFilter,0,22,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,NameFileFilter,1,196,2,24,0,44,2,20,0,9
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFilter,4,122,2,18,2,26,2,13,0,5
Apache Commons IO,org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,AndFileFilter,11,167,2,24,3,43,3,20,1,9
Apache Commons IO,org.apache.commons.io.filefilter,AgeFileFilter,0,76,0,6,0,18,0,11,0,8
Apache Commons IO,org.apache.commons.io.filefilter,SizeFileFilter,0,68,0,10,0,12,0,9,0,4
Apache Commons IO,org.apache.commons.io.filefilter,SuffixFileFilter,6,191,4,22,0,44,4,18,0,9
