,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AbstractBagDecorator,org.apache.commons.collections4.bag,6,0,2,1,0,9,66.66666666666666,9,39,0,4,3,8,2,9,2,7,72.72727272727273,100.0,11
1,AbstractBidiMapDecorator,org.apache.commons.collections4.bidimap,0,0,6,0,0,6,0.0,13,17,0,0,3,5,3,4,3,4,62.5,,7
2,AbstractBitwiseTrie,org.apache.commons.collections4.trie,1,0,38,0,0,39,2.564102564102564,40,186,7,25,9,45,9,26,3,16,83.33333333333334,78.125,35
3,AbstractCollectionDecorator,org.apache.commons.collections4.collection,16,0,0,0,0,16,100.0,3,84,0,2,2,23,1,18,1,17,92.0,100.0,19
4,AbstractDualBidiMap,org.apache.commons.collections4.bidimap,11,0,83,2,0,96,11.458333333333332,14,851,1,73,4,211,2,97,1,61,98.13953488372093,98.64864864864865,99
5,AbstractEmptyIterator,org.apache.commons.collections4.iterators,4,0,0,0,0,4,100.0,0,37,0,0,0,12,0,11,0,11,100.0,,11
6,AbstractHashedMap,org.apache.commons.collections4.map,100,1,106,42,1,249,40.562248995983936,49,1513,15,179,18,390,19,171,4,89,95.58823529411765,92.26804123711341,190
7,AbstractInputCheckedMapDecorator,org.apache.commons.collections4.map,9,0,8,4,0,21,42.857142857142854,2,183,1,11,1,40,2,16,1,11,97.5609756097561,91.66666666666666,18
8,AbstractIterableGetMapDecorator,org.apache.commons.collections4.splitmap,12,0,4,1,0,17,70.58823529411767,22,61,2,2,5,18,5,13,3,13,78.26086956521739,50.0,18
9,AbstractIterableMap,org.apache.commons.collections4.map,0,0,1,0,0,1,0.0,0,9,0,0,0,2,0,2,0,2,100.0,,2
10,AbstractIteratorDecorator,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100.0,0,8,0,0,0,3,0,2,0,2,100.0,,2
11,AbstractKeyValue,org.apache.commons.collections4.keyvalue,5,0,0,0,0,5,100.0,0,44,0,0,0,17,0,6,0,6,100.0,,6
12,AbstractLinkedList,org.apache.commons.collections4.list,0,0,237,0,0,237,0.0,116,1334,14,120,25,321,21,136,7,83,92.77456647398844,89.55223880597015,157
13,AbstractLinkedMap,org.apache.commons.collections4.map,24,0,56,0,0,80,30.0,36,571,4,60,11,132,10,70,6,42,92.3076923076923,93.75,80
14,AbstractListDecorator,org.apache.commons.collections4.list,15,0,0,0,0,15,100.0,3,77,0,4,2,16,1,16,1,14,88.88888888888889,100.0,17
15,AbstractListIteratorDecorator,org.apache.commons.collections4.iterators,10,0,0,1,0,11,90.9090909090909,5,49,1,1,1,17,1,11,0,11,94.44444444444444,50.0,12
16,AbstractListValuedMap,org.apache.commons.collections4.multimap,4,0,33,0,0,37,10.810810810810812,148,173,6,10,36,45,17,22,14,17,55.55555555555556,62.5,39
17,AbstractMapBag,org.apache.commons.collections4.bag,70,0,42,16,0,128,54.6875,37,742,13,87,8,192,13,71,2,32,96.0,87.0,84
18,AbstractMapDecorator,org.apache.commons.collections4.map,19,0,0,0,0,19,100.0,0,92,0,4,0,27,0,20,0,18,100.0,100.0,20
19,AbstractMapEntry,org.apache.commons.collections4.keyvalue,14,0,1,1,0,16,87.5,0,70,1,19,0,13,1,13,0,4,100.0,95.0,14
20,AbstractMapEntryDecorator,org.apache.commons.collections4.keyvalue,5,0,5,0,0,10,50.0,11,36,2,2,3,11,3,7,1,7,78.57142857142857,50.0,10
21,AbstractMapIteratorDecorator,org.apache.commons.collections4.iterators,0,0,8,0,0,8,0.0,41,0,2,0,13,0,9,0,8,0,0.0,0.0,9
22,AbstractMapMultiSet,org.apache.commons.collections4.multiset,16,0,72,9,2,99,18.181818181818183,54,646,12,58,14,161,12,61,3,35,92.0,82.85714285714286,73
23,AbstractMultiSet,org.apache.commons.collections4.multiset,0,0,93,1,0,94,0.0,314,265,53,27,77,64,43,41,15,29,45.39007092198582,33.75,84
24,AbstractMultiSetDecorator,org.apache.commons.collections4.multiset,2,0,9,0,0,11,18.181818181818183,29,29,0,4,7,6,6,7,6,5,46.15384615384615,100.0,13
25,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,11,0,148,4,0,163,6.7484662576687136,215,947,40,76,54,220,39,119,12,88,80.2919708029197,65.51724137931035,158
26,AbstractMultiValuedMapDecorator,org.apache.commons.collections4.multimap,2,0,23,1,0,26,7.6923076923076925,26,98,0,4,5,26,5,21,5,19,83.87096774193549,100.0,26
