,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AbsoluteNameLocationStrategy,org.apache.commons.configuration2.io,5,0,0,0,5,100.0,0,24,0,6,0,6,0,5,0,2,100.0,100.0,5
1,AbstractConfiguration,org.apache.commons.configuration2,204,3,5,3,215,96.27906976744184,138,1464,17,111,18,356,16,157,1,107,95.18716577540107,86.71875,173
2,AbstractHierarchicalConfiguration,org.apache.commons.configuration2,87,0,3,0,90,96.66666666666669,26,722,1,61,5,169,1,76,0,46,97.12643678160919,98.38709677419355,77
3,AbstractImmutableNodeHandler,org.apache.commons.configuration2.tree,21,0,0,0,21,100.0,0,115,0,14,0,24,0,22,0,15,100.0,100.0,22
4,AbstractListDelimiterHandler,org.apache.commons.configuration2.convert,25,1,0,0,26,96.15384615384615,5,133,1,21,1,27,1,17,0,7,96.42857142857143,95.45454545454545,18
5,AbstractYAMLBasedConfiguration,org.apache.commons.configuration2,13,1,2,0,16,81.25,15,205,2,18,3,48,2,17,1,8,94.11764705882352,90.0,19
6,AppletConfiguration,org.apache.commons.configuration2.web,5,0,0,0,5,100.0,45,0,4,0,9,0,5,0,3,0,0.0,0.0,5
7,AutoSaveListener,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0,0,73,0,12,0,22,0,13,0,7,100.0,100.0,13
8,BaseConfiguration,org.apache.commons.configuration2,12,0,0,0,12,100.0,6,136,0,8,2,35,0,15,0,11,94.5945945945946,100.0,15
9,BaseConfigurationBuilderProvider,org.apache.commons.configuration2.builder.combined,26,0,0,0,26,100.0,6,242,0,18,2,61,0,26,0,17,96.82539682539682,100.0,26
10,BaseConfigurationXMLReader,org.apache.commons.configuration2,9,0,1,0,10,90.0,0,60,0,2,0,20,0,10,0,9,100.0,100.0,10
11,BaseEventSource,org.apache.commons.configuration2.event,24,0,0,2,26,100.0,10,215,0,20,1,58,0,27,0,17,98.30508474576271,100.0,27
12,BaseHierarchicalConfiguration,org.apache.commons.configuration2,97,3,4,0,104,93.26923076923076,57,881,6,60,10,225,6,82,1,54,95.74468085106383,90.9090909090909,88
13,BasePathLocationStrategy,org.apache.commons.configuration2.io,4,0,0,0,4,100.0,0,21,0,4,0,8,0,4,0,2,100.0,100.0,4
14,BaseWebConfiguration,org.apache.commons.configuration2.web,8,0,0,0,8,100.0,0,51,0,8,0,10,0,10,0,6,100.0,100.0,10
15,BasicBuilderParameters,org.apache.commons.configuration2.builder,51,0,2,0,53,96.22641509433964,6,455,0,46,2,109,0,52,0,29,98.1981981981982,100.0,52
16,BasicConfigurationBuilder,org.apache.commons.configuration2.builder,64,2,3,0,69,92.7536231884058,9,476,1,39,2,141,2,61,1,42,98.6013986013986,97.5,63
17,BeanHelper,org.apache.commons.configuration2.beanutils,47,5,0,0,52,90.3846153846154,106,418,11,39,25,117,8,47,1,29,82.3943661971831,78.0,55
18,BuilderConfigurationWrapperFactory,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0,9,157,0,10,0,36,2,17,2,12,100.0,100.0,19
19,CatalogResolver,org.apache.commons.configuration2.resolver,28,9,28,0,65,43.07692307692307,161,371,19,23,27,108,16,30,0,25,80.0,54.761904761904766,46
20,ClasspathLocationStrategy,org.apache.commons.configuration2.io,2,0,0,0,2,100.0,0,13,0,2,0,3,0,3,0,2,100.0,100.0,3
