,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AbstractFileComparator,org.apache.commons.io.comparator,7,0,0,0,7,100.0,0,21,0,4,0,8,0,6,0,4,100.0,100.0,6
1,AbstractFileFilter,org.apache.commons.io.filefilter,3,0,0,0,3,100.0,0,22,0,0,0,4,0,4,0,4,100.0,,4
2,AgeFileFilter,org.apache.commons.io.filefilter,4,0,1,0,5,80.0,0,76,0,6,0,18,0,11,0,8,100.0,100.0,11
3,AndFileFilter,org.apache.commons.io.filefilter,19,1,5,0,25,76.0,11,167,2,24,3,43,3,20,1,9,93.47826086956522,92.3076923076923,23
4,AppendableOutputStream,org.apache.commons.io.output,1,0,0,0,1,100.0,0,16,0,0,0,6,0,3,0,3,100.0,,3
5,AutoCloseInputStream,org.apache.commons.io.input,3,0,2,0,5,60.0,0,24,0,2,0,11,0,5,0,4,100.0,100.0,5
6,BOMInputStream,org.apache.commons.io.input,64,0,9,0,73,87.67123287671231,0,380,0,60,0,84,0,50,0,20,100.0,100.0,50
7,BoundedInputStream,org.apache.commons.io.input,11,18,3,6,38,44.73684210526316,84,107,9,11,21,23,14,10,9,5,52.27272727272727,55.00000000000001,24
8,BoundedReader,org.apache.commons.io.input,19,0,4,0,23,82.6086956521739,0,100,0,12,0,27,0,12,0,6,100.0,100.0,12
9,ByteArrayOutputStream,org.apache.commons.io.output,67,1,6,3,77,90.9090909090909,25,496,10,36,4,119,10,31,0,18,96.7479674796748,78.26086956521739,41
10,ByteOrderMark,org.apache.commons.io,27,0,1,0,28,96.42857142857143,0,295,0,24,0,47,0,21,0,9,100.0,100.0,21
11,ByteOrderParser,org.apache.commons.io,4,0,0,0,4,100.0,3,33,0,4,2,6,1,3,1,1,75.0,100.0,4
12,CanReadFileFilter,org.apache.commons.io.filefilter,1,0,0,0,1,100.0,0,22,0,0,0,7,0,3,0,3,100.0,,3
13,CanWriteFileFilter,org.apache.commons.io.filefilter,1,0,0,0,1,100.0,0,16,0,0,0,5,0,3,0,3,100.0,,3
14,CharSequenceInputStream,org.apache.commons.io.input,37,1,3,10,51,92.15686274509804,74,290,12,34,10,75,12,25,1,13,88.23529411764706,73.91304347826086,37
15,CharSequenceReader,org.apache.commons.io.input,31,1,3,0,35,88.57142857142857,41,129,6,16,6,33,7,13,1,8,84.61538461538461,72.72727272727273,20
16,Charsets,org.apache.commons.io,5,0,0,0,5,100.0,3,70,0,4,1,16,1,6,1,4,94.11764705882352,100.0,7
17,ChunkedOutputStream,org.apache.commons.io.output,6,0,0,1,7,100.0,0,45,0,4,0,15,0,5,0,3,100.0,100.0,5
18,ChunkedWriter,org.apache.commons.io.output,6,0,0,1,7,100.0,0,45,0,4,0,15,0,5,0,3,100.0,100.0,5
19,ClassLoaderObjectInputStream,org.apache.commons.io.input,4,2,0,0,6,66.66666666666666,10,41,0,2,4,8,0,4,0,3,66.66666666666666,100.0,4
20,ClosedInputStream,org.apache.commons.io.input,1,0,0,0,1,100.0,0,10,0,0,0,3,0,3,0,3,100.0,,3
21,CompositeFileComparator,org.apache.commons.io.comparator,8,0,2,0,10,80.0,0,133,0,14,0,32,0,12,0,5,100.0,100.0,12
22,CopyUtils,org.apache.commons.io,14,2,0,0,16,87.5,31,135,0,4,9,40,2,13,2,11,81.63265306122449,100.0,15
23,CountingInputStream,org.apache.commons.io.input,10,0,2,0,12,83.33333333333334,0,84,0,6,0,20,0,10,0,7,100.0,100.0,10
24,CountingOutputStream,org.apache.commons.io.output,7,0,2,0,9,77.7777777777778,0,72,0,4,0,17,0,8,0,6,100.0,100.0,8
25,DefaultFileComparator,org.apache.commons.io.comparator,1,0,0,0,1,100.0,0,17,0,0,0,4,0,3,0,3,100.0,,3
26,DeferredFileOutputStream,org.apache.commons.io.output,16,1,4,0,21,76.19047619047619,42,174,11,15,6,48,8,17,0,12,88.88888888888889,57.692307692307686,25
27,DelegateFileFilter,org.apache.commons.io.filefilter,9,1,0,0,10,90.0,5,78,1,9,1,19,1,9,0,5,95.0,90.0,10
28,DemuxInputStream,org.apache.commons.io.input,3,3,0,1,7,57.14285714285714,12,29,3,1,5,8,3,3,1,3,61.53846153846154,25.0,6
29,DemuxOutputStream,org.apache.commons.io.output,4,4,0,0,8,50.0,20,30,5,1,8,9,5,3,2,3,52.94117647058824,16.666666666666664,8
30,DirectoryFileComparator,org.apache.commons.io.comparator,4,0,1,0,5,80.0,0,28,0,2,0,7,0,5,0,4,100.0,100.0,5
31,DirectoryFileFilter,org.apache.commons.io.filefilter,1,0,0,0,1,100.0,0,13,0,0,0,5,0,3,0,3,100.0,,3
32,DirectoryWalker,org.apache.commons.io,27,0,7,0,34,79.41176470588233,1,242,0,26,1,66,1,32,1,19,98.50746268656717,100.0,33
33,EmptyFileFilter,org.apache.commons.io.filefilter,6,0,0,0,6,100.0,0,37,1,7,0,8,1,6,0,3,100.0,87.5,7
34,EndianUtils,org.apache.commons.io,219,0,27,0,246,89.02439024390246,0,749,0,4,0,113,0,33,0,31,100.0,100.0,33
35,ExtensionFileComparator,org.apache.commons.io.comparator,3,0,0,0,3,100.0,0,75,0,2,0,18,0,6,0,5,100.0,100.0,6
36,FalseFileFilter,org.apache.commons.io.filefilter,2,0,0,0,2,100.0,0,14,0,0,0,6,0,4,0,4,100.0,,4
37,FileAlterationMonitor,org.apache.commons.io.monitor,14,1,5,0,20,70.0,4,180,0,26,1,52,0,25,0,12,98.11320754716981,100.0,25
38,FileAlterationObserver,org.apache.commons.io.monitor,58,2,7,0,67,86.56716417910447,48,514,10,60,10,113,11,47,3,20,91.869918699187,85.71428571428571,58
39,FileCleaner,org.apache.commons.io,1,6,0,0,7,14.285714285714285,31,7,0,0,12,2,7,2,7,2,14.285714285714285,,9
40,FileCleaningTracker,org.apache.commons.io,12,1,6,4,23,69.56521739130434,6,194,1,17,1,49,2,21,1,13,98.0,94.44444444444444,23
41,FileDeleteStrategy,org.apache.commons.io,10,1,0,0,11,90.9090909090909,3,68,0,8,2,17,0,12,0,8,89.47368421052632,100.0,12
42,FileEntry,org.apache.commons.io.monitor,15,7,2,0,24,62.5,50,123,9,15,16,29,18,14,10,10,64.44444444444444,62.5,32
43,FileFileFilter,org.apache.commons.io.filefilter,1,0,0,0,1,100.0,0,11,0,0,0,4,0,3,0,3,100.0,,3
44,FileFilterUtils,org.apache.commons.io.filefilter,62,2,0,0,64,96.875,17,414,1,33,3,83,3,58,2,42,96.51162790697676,97.05882352941177,61
45,FileSystemUtils,org.apache.commons.io,53,3,23,0,79,67.08860759493672,104,656,28,75,24,153,25,42,2,12,86.4406779661017,72.81553398058253,67
46,FileUtils,org.apache.commons.io,317,22,41,2,382,83.50785340314137,766,2830,198,376,62,630,141,265,4,115,91.04046242774567,65.50522648083623,406
47,FileWriterWithEncoding,org.apache.commons.io.output,15,1,2,0,18,83.33333333333334,31,174,0,12,7,54,3,23,3,17,88.52459016393442,100.0,26
48,FilenameUtils,org.apache.commons.io,325,3,19,3,350,93.71428571428572,22,1334,10,294,9,321,11,182,1,40,97.27272727272728,96.71052631578947,193
49,FullClassNameMatcher,org.apache.commons.io.serialization,1,0,0,0,1,100.0,0,16,0,0,0,4,0,2,0,2,100.0,,2
50,HexDump,org.apache.commons.io,40,0,3,0,43,93.02325581395347,3,293,0,24,2,47,1,16,1,4,95.91836734693877,100.0,17
51,HiddenFileFilter,org.apache.commons.io.filefilter,1,0,0,0,1,100.0,0,16,0,0,0,5,0,3,0,3,100.0,,3
52,IOCase,org.apache.commons.io,28,1,1,0,30,93.33333333333331,11,225,1,29,1,35,3,27,2,13,97.22222222222221,96.66666666666667,30
53,IOUtils,org.apache.commons.io,242,29,30,13,314,81.21019108280254,346,1668,81,209,48,399,64,212,14,117,89.26174496644296,72.06896551724138,276
54,InfiniteCircularInputStream,org.apache.commons.io.input,4,0,0,0,4,100.0,0,27,0,0,0,6,0,2,0,2,100.0,,2
55,LastModifiedFileComparator,org.apache.commons.io.comparator,8,0,0,0,8,100.0,0,33,0,4,0,9,0,5,0,3,100.0,100.0,5
56,LineIterator,org.apache.commons.io,15,1,4,0,20,75.0,5,111,1,17,1,41,1,16,0,8,97.61904761904762,94.44444444444444,17
57,LockableFileWriter,org.apache.commons.io.output,11,7,2,0,20,55.00000000000001,117,144,5,9,34,37,16,11,12,8,52.112676056338024,64.28571428571429,27
58,MagicNumberFileFilter,org.apache.commons.io.filefilter,18,0,0,0,18,100.0,22,176,10,20,1,42,7,14,0,6,97.67441860465115,66.66666666666666,21
59,MessageDigestCalculatingInputStream,org.apache.commons.io.input,3,1,0,0,4,75.0,12,35,0,0,4,12,2,5,2,5,75.0,,7
60,NameFileComparator,org.apache.commons.io.comparator,3,0,0,0,3,100.0,0,69,0,2,0,14,0,6,0,5,100.0,100.0,6
61,NameFileFilter,org.apache.commons.io.filefilter,15,0,4,0,19,78.94736842105263,1,196,2,24,0,44,2,20,0,9,100.0,92.3076923076923,22
62,NotFileFilter,org.apache.commons.io.filefilter,6,0,0,0,6,100.0,0,48,0,6,0,8,0,7,0,4,100.0,100.0,7
63,NullInputStream,org.apache.commons.io.input,37,3,6,0,46,80.43478260869566,7,271,1,29,3,68,3,28,2,14,95.77464788732394,96.66666666666667,31
64,NullReader,org.apache.commons.io.input,32,2,4,0,38,84.21052631578947,5,252,0,26,2,63,2,26,2,13,96.92307692307692,100.0,28
65,NullWriter,org.apache.commons.io.output,0,2,1,0,3,0.0,4,17,0,0,2,11,2,10,2,10,84.61538461538461,,12
66,ObservableInputStream,org.apache.commons.io.input,21,6,6,1,34,64.70588235294117,55,186,8,22,16,64,11,25,4,17,80.0,73.33333333333333,36
67,OrFileFilter,org.apache.commons.io.filefilter,15,0,6,0,21,71.42857142857143,2,164,3,19,0,42,3,18,0,10,100.0,86.36363636363636,21
68,PathFileComparator,org.apache.commons.io.comparator,3,0,0,0,3,100.0,0,69,0,2,0,14,0,6,0,5,100.0,100.0,6
69,PrefixFileFilter,org.apache.commons.io.filefilter,15,0,4,0,19,78.94736842105263,6,191,4,22,0,44,4,18,0,9,100.0,84.61538461538461,22
70,ProxyInputStream,org.apache.commons.io.input,16,7,6,0,29,55.17241379310346,38,85,1,3,16,29,2,13,1,12,64.44444444444444,75.0,15
71,ProxyOutputStream,org.apache.commons.io.output,12,2,3,0,17,70.58823529411767,17,66,0,2,5,27,0,10,0,9,84.375,100.0,10
72,ProxyReader,org.apache.commons.io.input,2,24,10,0,36,5.5555555555555545,97,56,4,2,35,19,10,7,7,7,35.18518518518518,33.33333333333333,17
73,ProxyWriter,org.apache.commons.io.output,20,0,21,0,41,48.78048780487804,30,161,0,6,10,60,0,17,0,14,85.71428571428571,100.0,17
74,ReaderInputStream,org.apache.commons.io.input,22,1,3,10,36,88.8888888888889,38,221,7,29,6,59,9,21,2,10,90.76923076923077,80.55555555555556,30
75,RegexFileFilter,org.apache.commons.io.filefilter,7,0,0,0,7,100.0,0,72,2,10,0,24,2,9,0,5,100.0,83.33333333333334,11
76,RegexpClassNameMatcher,org.apache.commons.io.serialization,2,0,0,0,2,100.0,0,24,0,2,0,8,0,4,0,3,100.0,100.0,4
77,ReverseComparator,org.apache.commons.io.comparator,3,0,0,0,3,100.0,5,30,1,1,1,6,1,3,0,3,85.71428571428571,50.0,4
