,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AbstractCircuitBreaker,org.apache.commons.lang3.concurrent,14,0,0,0,0,14,100.0,5,134,0,8,0,26,1,20,1,16,100.0,100.0,21
1,AggregateTranslator,org.apache.commons.lang3.text.translate,3,0,0,0,0,3,100.0,0,37,0,4,0,8,0,4,0,2,100.0,100.0,4
2,AnnotationUtils,org.apache.commons.lang3,90,0,4,11,0,105,85.71428571428571,49,534,12,88,16,117,13,51,1,13,87.96992481203007,88.0,64
3,ArchUtils,org.apache.commons.lang3,9,0,1,0,0,10,90.0,19,210,1,3,3,35,3,12,2,11,92.10526315789474,75.0,15
4,ArrayUtils,org.apache.commons.lang3,1770,0,16,275,61,2122,86.28652214891609,113,8229,95,1459,48,2027,101,999,9,314,97.6867469879518,93.88674388674389,1100
5,AtomicInitializer,org.apache.commons.lang3.concurrent,2,0,0,1,0,3,66.66666666666666,4,25,1,3,1,7,1,3,0,2,87.5,75.0,4
6,AtomicSafeInitializer,org.apache.commons.lang3.concurrent,3,0,0,0,1,4,100.0,0,33,0,4,0,8,0,4,0,2,100.0,100.0,4
7,BackgroundInitializer,org.apache.commons.lang3.concurrent,20,0,0,1,1,22,95.45454545454544,4,132,0,14,2,41,0,21,0,14,95.34883720930233,100.0,21
8,BasicThreadFactory,org.apache.commons.lang3.concurrent,24,0,0,0,0,24,100.0,0,181,0,10,0,53,0,22,0,17,100.0,100.0,22
9,BitField,org.apache.commons.lang3,34,0,0,1,0,35,97.14285714285714,0,139,0,12,0,21,0,24,0,18,100.0,100.0,24
10,BooleanUtils,org.apache.commons.lang3,201,0,0,0,0,201,100.0,0,800,9,245,0,205,9,161,0,41,100.0,96.45669291338582,170
11,CallableBackgroundInitializer,org.apache.commons.lang3.concurrent,5,0,0,0,0,5,100.0,0,33,0,2,0,11,0,5,0,4,100.0,100.0,5
12,CharEncoding,org.apache.commons.lang3,4,0,0,0,0,4,100.0,0,13,0,2,0,6,0,3,0,2,100.0,100.0,3
13,CharRange,org.apache.commons.lang3,67,0,0,6,2,75,92.0,0,370,1,65,0,79,1,51,0,19,100.0,98.48484848484848,52
14,CharSequenceTranslator,org.apache.commons.lang3.text.translate,19,0,0,4,3,26,84.61538461538461,6,185,2,16,2,33,2,13,0,6,94.28571428571428,88.88888888888889,15
15,CharSequenceUtils,org.apache.commons.lang3,76,0,3,10,0,89,85.39325842696628,11,282,12,58,4,68,11,32,0,8,94.44444444444444,82.85714285714286,43
16,CharSet,org.apache.commons.lang3,41,0,0,2,0,43,95.34883720930232,0,304,0,34,0,58,0,26,0,9,100.0,100.0,26
17,CharSetUtils,org.apache.commons.lang3,41,0,0,0,0,41,100.0,0,255,1,53,0,61,1,34,0,8,100.0,98.14814814814815,35
18,CharUtils,org.apache.commons.lang3,81,0,0,0,0,81,100.0,0,343,0,54,0,55,0,52,0,25,100.0,100.0,52
19,ClassPathUtils,org.apache.commons.lang3,4,0,0,0,0,4,100.0,0,120,0,0,0,14,0,5,0,5,100.0,,5
20,ClassUtils,org.apache.commons.lang3,245,1,12,7,1,265,92.83018867924528,94,1552,20,250,20,364,26,180,8,63,94.79166666666666,92.5925925925926,206
21,CodePointTranslator,org.apache.commons.lang3.text.translate,2,0,0,0,0,2,100.0,0,18,0,2,0,4,0,3,0,2,100.0,100.0,3
