,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AVLTree,org.apache.commons.math3.geometry.partitioning.utilities,100,0,6,21,0,127,78.74015748031495,28,933,12,134,4,239,13,93,2,27,98.35390946502058,91.78082191780823,106
1,Abs,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0.0,0,6,0,0,0,2,0,2,0,2,100.0,,2
2,AbstractConvergenceChecker,org.apache.commons.math3.optim,2,0,0,0,0,2,100.0,9,39,0,0,4,14,1,7,1,7,77.77777777777779,,8
3,AbstractConvergenceChecker,org.apache.commons.math3.optimization,2,0,0,0,0,2,100.0,9,39,0,0,4,14,1,7,1,7,77.77777777777779,,8
4,AbstractConvexHullGenerator2D,org.apache.commons.math3.geometry.euclidean.twod.hull,5,0,0,1,0,6,83.33333333333334,0,52,0,2,0,16,0,6,0,5,100.0,100.0,6
5,AbstractCurveFitter,org.apache.commons.math3.fitting,13,0,0,0,0,13,100.0,0,131,0,6,0,26,0,13,0,10,100.0,100.0,13
6,AbstractDifferentiableOptimizer,org.apache.commons.math3.optimization.general,0,0,3,0,0,3,0.0,37,0,0,0,6,0,4,0,4,0,0.0,,4
7,AbstractDifferentiableUnivariateSolver,org.apache.commons.math3.analysis.solvers,2,0,0,1,0,3,66.66666666666666,6,23,0,0,2,7,1,3,1,3,77.77777777777779,,4
8,AbstractEvaluation,org.apache.commons.math3.fitting.leastsquares,10,0,0,0,0,10,100.0,0,76,0,2,0,18,0,6,0,5,100.0,100.0,6
9,AbstractFieldIntegrator,org.apache.commons.math3.ode,38,0,2,9,5,54,79.62962962962962,15,572,6,44,3,125,8,48,2,29,97.65625,88.0,56
10,AbstractFieldMatrix,org.apache.commons.math3.linear,312,0,41,66,0,419,74.46300715990455,321,2011,39,203,54,386,34,156,6,63,87.72727272727273,83.88429752066115,190
11,AbstractFieldStepInterpolator,org.apache.commons.math3.ode.sampling,7,0,0,0,0,7,100.0,0,83,0,0,0,18,0,8,0,8,100.0,,8
12,AbstractFormat,org.apache.commons.math3.fraction,17,0,1,4,0,22,77.27272727272727,21,102,3,9,5,33,5,14,2,11,86.8421052631579,75.0,19
13,AbstractIntegerDistribution,org.apache.commons.math3.distribution,37,0,3,15,9,64,71.875,38,243,9,35,9,56,9,23,1,9,86.15384615384616,79.54545454545455,32
14,AbstractIntegrator,org.apache.commons.math3.ode,55,0,2,9,6,72,84.7222222222222,10,630,2,54,2,137,4,51,2,25,98.56115107913669,96.42857142857143,55
15,AbstractLeastSquaresOptimizer,org.apache.commons.math3.optim.nonlinear.vector.jacobian,25,1,1,0,0,27,96.29629629629628,77,605,4,32,17,112,9,44,5,30,86.82170542635659,88.88888888888889,53
16,AbstractLeastSquaresOptimizer,org.apache.commons.math3.optimization.general,40,1,3,6,0,50,82.0,77,605,4,32,17,112,9,44,5,30,86.82170542635659,88.88888888888889,53
17,AbstractLinearOptimizer,org.apache.commons.math3.optimization.linear,8,0,0,2,1,11,81.81818181818183,7,58,1,1,1,19,1,10,0,10,95.0,50.0,11
18,AbstractListChromosome,org.apache.commons.math3.genetics,3,0,0,2,0,5,60.0,1,49,1,1,0,12,1,6,0,6,100.0,50.0,7
19,AbstractMultipleLinearRegression,org.apache.commons.math3.stat.regression,53,0,1,7,0,61,86.88524590163935,38,402,6,42,6,78,7,37,1,19,92.85714285714286,87.5,44
20,AbstractMultivariateRealDistribution,org.apache.commons.math3.distribution,7,0,0,1,0,8,87.5,7,38,1,3,2,12,1,5,0,4,85.71428571428571,75.0,6
21,AbstractOptimizationProblem,org.apache.commons.math3.optim,3,0,0,0,0,3,100.0,0,58,0,0,0,14,0,9,0,9,100.0,,9
22,AbstractParameterizable,org.apache.commons.math3.ode,4,0,1,0,0,5,80.0,16,59,0,8,5,13,2,7,2,3,72.22222222222221,100.0,9
23,AbstractPolynomialSolver,org.apache.commons.math3.analysis.solvers,2,0,0,0,0,2,100.0,11,19,0,0,4,6,2,3,2,3,60.0,,5
24,AbstractRandomGenerator,org.apache.commons.math3.random,32,0,3,9,7,51,76.47058823529412,35,169,5,17,7,40,5,17,1,10,85.1063829787234,77.27272727272727,22
25,AbstractRealDistribution,org.apache.commons.math3.distribution,47,0,1,12,4,64,79.6875,23,289,5,39,6,64,7,28,2,11,91.42857142857143,88.63636363636364,35
26,AbstractRealMatrix,org.apache.commons.math3.linear,323,0,36,50,0,409,78.97310513447434,209,1892,22,178,35,366,19,150,4,65,91.2718204488778,89.0,169
27,AbstractRegion,org.apache.commons.math3.geometry.partitioning,81,0,9,8,0,98,82.65306122448979,69,680,19,79,12,150,19,67,3,33,92.5925925925926,80.61224489795919,86
28,AbstractScalarDifferentiableOptimizer,org.apache.commons.math3.optimization.general,3,0,0,0,0,3,100.0,3,28,0,0,1,7,1,4,1,4,87.5,,5
29,AbstractSimplex,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,65,0,2,4,2,73,91.78082191780823,196,758,26,82,28,150,28,54,2,26,84.26966292134831,75.92592592592592,82
30,AbstractSimplex,org.apache.commons.math3.optimization.direct,65,0,2,4,2,73,91.78082191780823,196,758,26,82,28,150,28,54,2,26,84.26966292134831,75.92592592592592,82
31,AbstractStepInterpolator,org.apache.commons.math3.ode.sampling,61,0,5,4,0,70,87.14285714285714,92,651,9,25,15,171,10,33,1,25,91.93548387096774,73.52941176470588,43
32,AbstractStorelessUnivariateStatistic,org.apache.commons.math3.stat.descriptive,23,0,0,3,0,26,88.46153846153845,7,111,1,17,1,24,1,15,0,7,96.0,94.44444444444444,16
33,AbstractSubHyperplane,org.apache.commons.math3.geometry.partitioning,16,0,1,0,0,17,94.11764705882351,14,199,2,14,1,40,3,15,1,9,97.5609756097561,87.5,18
34,AbstractUnivariateDifferentiableSolver,org.apache.commons.math3.analysis.solvers,3,0,0,0,0,3,100.0,6,28,0,0,2,7,1,3,1,3,77.77777777777779,,4
35,AbstractUnivariateStatistic,org.apache.commons.math3.stat.descriptive,8,0,12,0,0,20,40.0,68,60,10,2,13,11,7,10,2,9,45.83333333333333,16.666666666666664,17
36,AbstractWell,org.apache.commons.math3.random,37,0,0,2,1,40,95.0,0,241,0,8,0,39,0,11,0,7,100.0,100.0,11
37,Acos,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
38,Acosh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0.0,13,0,0,0,4,0,4,0,4,0,0.0,,4
39,AdamsBashforthFieldIntegrator,org.apache.commons.math3.ode.nonstiff,23,0,1,14,9,47,68.08510638297872,19,466,2,34,1,79,2,20,0,4,98.75,94.44444444444444,22
40,AdamsBashforthIntegrator,org.apache.commons.math3.ode.nonstiff,44,0,6,19,13,82,69.51219512195121,40,433,3,35,4,83,3,20,0,4,95.40229885057471,92.10526315789474,23
41,AdamsFieldIntegrator,org.apache.commons.math3.ode.nonstiff,3,0,0,0,0,3,100.0,0,52,0,0,0,10,0,5,0,5,100.0,,5
42,AdamsFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,11,0,1,2,0,14,78.57142857142857,18,206,0,6,1,31,1,7,1,4,96.875,100.0,8
43,AdamsIntegrator,org.apache.commons.math3.ode.nonstiff,3,0,0,0,0,3,100.0,0,48,0,0,0,10,0,5,0,5,100.0,,5
44,AdamsMoultonFieldIntegrator,org.apache.commons.math3.ode.nonstiff,23,0,1,16,9,49,65.3061224489796,21,567,3,35,1,93,3,23,0,7,98.93617021276596,92.10526315789474,26
45,AdamsMoultonIntegrator,org.apache.commons.math3.ode.nonstiff,41,0,6,22,17,86,67.44186046511628,42,514,4,36,4,97,4,23,0,7,96.03960396039604,90.0,27
46,AdamsNordsieckFieldTransformer,org.apache.commons.math3.ode.nonstiff,50,0,0,14,0,64,78.125,5,500,0,32,1,75,0,23,0,7,98.68421052631578,100.0,23
47,AdamsNordsieckTransformer,org.apache.commons.math3.ode.nonstiff,82,0,1,0,0,83,98.79518072289156,9,464,0,32,2,74,1,23,1,7,97.36842105263158,100.0,24
48,AdaptiveStepsizeFieldIntegrator,org.apache.commons.math3.ode.nonstiff,21,0,9,13,3,46,52.17391304347826,90,448,14,28,10,77,13,19,3,8,88.50574712643679,66.66666666666666,32
49,AdaptiveStepsizeIntegrator,org.apache.commons.math3.ode.nonstiff,46,0,2,15,14,77,77.92207792207795,17,395,7,39,3,83,6,29,0,12,96.51162790697676,84.78260869565217,35
50,Add,org.apache.commons.math3.analysis.function,2,0,0,0,0,2,100.0,0,7,0,0,0,2,0,2,0,2,100.0,,2
51,AggregateSummaryStatistics,org.apache.commons.math3.stat.descriptive,36,0,18,6,0,60,60.0,176,294,17,15,34,64,20,17,7,14,65.3061224489796,46.875,37
52,AgrestiCoullInterval,org.apache.commons.math3.stat.interval,17,0,0,0,0,17,100.0,0,67,0,0,0,11,0,2,0,2,100.0,,2
53,AkimaSplineInterpolator,org.apache.commons.math3.analysis.interpolation,94,0,0,6,0,100,94.0,27,480,3,23,4,63,3,14,0,4,94.02985074626866,88.46153846153845,17
54,AklToussaintHeuristic,org.apache.commons.math3.geometry.euclidean.twod.hull,16,0,2,22,0,40,40.0,7,219,3,41,4,44,4,22,1,3,91.66666666666666,93.18181818181817,26
55,Arc,org.apache.commons.math3.geometry.spherical.oned,26,0,1,7,0,34,76.47058823529412,3,132,0,16,1,23,1,14,1,6,95.83333333333334,100.0,15
56,ArcsSet,org.apache.commons.math3.geometry.spherical.oned,139,0,21,42,14,216,70.83333333333334,120,1280,17,141,19,268,15,104,1,39,93.37979094076655,89.24050632911393,119
57,ArgUtils,org.apache.commons.math3.exception.util,6,0,0,0,0,6,100.0,3,56,1,7,1,8,2,4,1,1,88.88888888888889,87.5,6
58,ArithmeticUtils,org.apache.commons.math3.util,145,0,17,24,27,213,80.75117370892018,87,945,10,140,22,200,16,87,9,19,90.09009009009009,93.33333333333333,103
59,Array2DRowFieldMatrix,org.apache.commons.math3.linear,133,0,8,32,0,173,76.878612716763,114,993,9,83,22,177,12,68,4,30,88.94472361809045,90.21739130434783,80
60,Array2DRowRealMatrix,org.apache.commons.math3.linear,154,0,0,29,0,183,84.15300546448087,30,1007,7,89,5,188,7,72,0,31,97.40932642487047,92.70833333333334,79
61,ArrayFieldVector,org.apache.commons.math3.linear,145,0,32,81,0,258,56.2015503875969,373,1567,18,96,73,289,20,110,6,67,79.8342541436464,84.21052631578947,130
62,ArrayRealVector,org.apache.commons.math3.linear,254,0,5,35,0,294,86.39455782312925,56,1752,4,140,12,357,6,133,2,65,96.7479674796748,97.22222222222221,139
63,Asin,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
64,Asinh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0.0,13,0,0,0,4,0,4,0,4,0,0.0,,4
65,Atan,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0.0,7,6,0,0,2,2,2,2,2,2,50.0,,4
66,Atan2,org.apache.commons.math3.analysis.function,0,0,1,0,0,1,0.0,7,0,0,0,2,0,2,0,2,0,0.0,,2
67,Atanh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0.0,13,0,0,0,4,0,4,0,4,0,0.0,,4
68,BOBYQAOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,1016,0,175,357,15,1563,65.96289187460013,1868,11942,210,1038,318,2054,182,486,4,24,86.59359190556492,83.17307692307693,668
69,BOBYQAOptimizer,org.apache.commons.math3.optimization.direct,1017,0,175,358,13,1563,65.89891234804863,1868,11942,210,1038,318,2054,182,486,4,24,86.59359190556492,83.17307692307693,668
70,BSPTree,org.apache.commons.math3.geometry.partitioning,82,0,6,28,0,116,70.6896551724138,112,985,14,85,24,210,16,66,4,25,89.74358974358975,85.85858585858585,82
71,BaseAbstractMultivariateOptimizer,org.apache.commons.math3.optimization.direct,44,0,0,1,0,45,97.77777777777777,20,294,5,33,3,62,6,29,1,15,95.38461538461539,86.8421052631579,35
72,BaseAbstractMultivariateSimpleBoundsOptimizer,org.apache.commons.math3.optimization.direct,2,0,0,0,0,2,100.0,3,42,0,0,1,4,1,3,1,3,80.0,,4
73,BaseAbstractMultivariateVectorOptimizer,org.apache.commons.math3.optimization.direct,20,0,11,1,0,32,62.5,95,158,11,11,18,42,13,17,7,12,70.0,50.0,30
74,BaseAbstractUnivariateIntegrator,org.apache.commons.math3.analysis.integration,15,0,0,3,1,19,84.21052631578947,13,133,1,3,3,40,2,15,1,14,93.02325581395348,75.0,17
75,BaseAbstractUnivariateOptimizer,org.apache.commons.math3.optimization.univariate,18,0,0,0,0,18,100.0,8,94,2,2,2,27,2,11,0,11,93.10344827586206,50.0,13
76,BaseAbstractUnivariateSolver,org.apache.commons.math3.analysis.solvers,22,0,1,1,0,24,91.66666666666666,4,149,0,0,1,43,1,21,1,21,97.72727272727273,,22
77,BaseMultiStartMultivariateOptimizer,org.apache.commons.math3.optim,24,0,0,7,3,34,79.41176470588233,14,219,4,30,3,51,4,17,0,4,94.44444444444444,88.23529411764706,21
78,BaseMultivariateMultiStartOptimizer,org.apache.commons.math3.optimization,15,0,4,7,0,26,57.69230769230769,42,137,10,12,10,32,10,10,1,8,76.19047619047619,54.54545454545454,20
79,BaseMultivariateOptimizer,org.apache.commons.math3.optim,25,0,0,1,0,26,96.15384615384615,10,174,2,28,1,36,2,20,0,7,97.2972972972973,93.33333333333333,22
80,BaseMultivariateVectorMultiStartOptimizer,org.apache.commons.math3.optimization,14,0,2,16,0,32,43.75,24,189,5,17,6,41,6,15,1,9,87.2340425531915,77.27272727272727,21
81,BaseOptimizer,org.apache.commons.math3.optim,14,0,4,0,0,18,77.7777777777778,13,122,0,6,4,31,2,17,2,14,88.57142857142857,100.0,19
82,BaseRuleFactory,org.apache.commons.math3.analysis.integration.gauss,8,0,0,3,2,13,76.92307692307693,19,134,2,8,4,28,2,8,0,5,87.5,80.0,10
83,BaseSecantSolver,org.apache.commons.math3.analysis.solvers,40,0,0,15,0,55,72.72727272727273,25,362,3,45,3,71,4,37,1,11,95.94594594594594,93.75,41
84,BesselJ,org.apache.commons.math3.special,240,0,12,115,1,368,65.48913043478261,78,1310,19,113,14,246,22,52,4,4,94.61538461538461,85.60606060606061,74
85,Beta,org.apache.commons.math3.special,227,0,5,26,5,263,88.212927756654,50,892,5,85,8,136,9,51,4,11,94.44444444444444,94.44444444444444,60
86,BetaDistribution,org.apache.commons.math3.distribution,106,0,9,22,5,142,78.16901408450704,47,466,9,33,10,90,10,34,3,20,90.0,78.57142857142857,44
